Form,How often do you use the internet?,"Do you only have internet access through the generosity of someone who is not in your household, such as free Wi-Fi, a neighbor, your workplace, or the library?","Excluding mobile plans, do you have internet access at home?",Who provides your home internet service?,"Excluding mobile plans, about how much is the price per month of your home internet service?",Do you have internet access through a mobile plan?,"If you marked Yes, about how much is the price per month of your household's mobile plan?",What do you dislike about your internet service?,"When you have an issue with your internet provider, from which institutions can you get satisfaction?","In a perfect world, how could your internet service be better (what would you like to be able to do that you can't do now)?",How important is it for students to have internet access?,How important is it for low-income families to have internet access?,I support a publicly-owned internet utility.,Community input is important in governance of an internet utility.,Rates should only pay for utility costs.,Subscribers should subsidize internet access for families that can't afford it.,All taxpayers should subsidize internet access for families that can't afford it.,I would financially support a campaign to create a publicly-owned internet utility.
English Q9NP,"All day, every day",No,Yes,Comcast,$55,Yes,$60,"Price, Reliability, Customer service, Billing, Lack of choice in providers, Download speed, Upload speed, Bandwidth caps, Lack of network neutrality guarantees, Lack of privacy guarantees, Subscription fees funding providers' lobbying to tilt regulation in their favor",None of these,"Provide internet to everyone, Net neutral internet",5,5,5,5,5,5,5,5
English Q9P,A few times per day,No,Yes,Comcast,$45,Yes,$40,"Price, Lack of choice in providers, Lack of network neutrality guarantees, Lack of privacy guarantees",,"Free, high-speed for everyone.",5,5,5,5,4,5,3,4
English Q9P,"All day, every day",No,Yes,Comcast,$45,Yes,$40,"Price, Lack of choice in providers, Lack of network neutrality guarantees, Subscription fees funding providers' lobbying to tilt regulation in their favor, Other (please specify): Paying a company whose values are not my own for a basic service",,"Consistent pricing for useable speeds. Our service options constantly move past the technology in our home - i.e., we are constantly needing to buy a new modem (every 2yrs) for high prices.",5,5,5,4,4,4,3,2
English Q9NP,"All day, every day",No,Yes,Frontier (fiber),$60,Yes,$36,"Lack of choice in providers, Lack of network neutrality guarantees, Lack of privacy guarantees, Subscription fees funding providers' lobbying to tilt regulation in their favor",,"Choice, privacy, competition",5,5,5,5,4,4,4,4
English Q9NP,"All day, every day",No,Yes,Comcast,$114,Yes,$50,"Price, Customer service, Lack of choice in providers, Download speed, Upload speed, Bandwidth caps, Lack of network neutrality guarantees, Subscription fees funding providers' lobbying to tilt regulation in their favor","Federal Communications Commission, Mount Hood Cable Regulatory Commission, Portland Office of Community Technology","Public internet of the same quality as in Seoul, S. Korea",5,5,5,4,4,3,3,4
English Q9NP,"All day, every day",No,Yes,CenturyLink (DSL),$30,Yes,$100,"Customer service, Lack of choice in providers, Bandwidth caps, Lack of network neutrality guarantees, Lack of privacy guarantees, Subscription fees funding providers' lobbying to tilt regulation in their favor",None of these,Internal local network for community use exclusively.,5,5,5,5,3,2,4,4
English Q9NP,"All day, every day",No,Yes,Comcast,$80,Yes,$165,"Price, Reliability, Customer service, Billing, Lack of choice in providers, Download speed, Upload speed, Bandwidth caps, Lack of network neutrality guarantees, Lack of privacy guarantees, Subscription fees funding providers' lobbying to tilt regulation in their favor",None of these,,5,4,5,5,2,5,3,5
English Q9NP,"All day, every day",No,Yes,Comcast,$55,Yes,$60,"Price, Reliability, Customer service, Billing, Lack of choice in providers, Download speed, Upload speed, Bandwidth caps, Lack of network neutrality guarantees, Lack of privacy guarantees, Subscription fees funding providers' lobbying to tilt regulation in their favor",None of these,GigE that doesn't cost $160/month. Make internet access a public right/utility.,5,5,5,5,5,5,5,5
English Q9P,"All day, every day",No,"No, because it is too expensive",,,Yes,$60,"Price, Reliability, Upload speed, Download speed",None of these,"Affordability, Speed",5,5,5,5,5,5,1,4
English Q9P,"All day, every day",No,Yes,Frontier (fiber),$49.99,Yes,$49.99,"Price, Billing, Lack of choice in providers",The provider itself,"Be free, no price, no bills",4,4,5,3,3,2,3,4
