"Timestamp","Do you use the Internet?","Do you have Internet in your home/business?","Who provides your home/business Internet service?","About how much is your monthly Internet service in your home/business (excluding mobile plans)?","Do you ONLY have Internet access through a mobile data plan?","About how much is the price per month for your family's mobile service?","Do you ONLY have Internet access through the generosity of someone who is not in your household (e.g. free wifi, a neighbor, at work, the library)?","What do you dislike about your home/business Internet service? (check all that apply)","When there is a dispute with your home/business Internet provider, from which institutions can you get satisfaction? (check any that apply)","In a perfect world, how could your home/business Internet service be better (i.e. things you can't do now)?","How important is it for students to have Internet access?","How important is it for low-income families to have Internet access?","Do you support a publicly-owned telecommunications utility?","How important is user input in governance of a public telecommunications utility?","How important is it that rates pay only for utility costs?","Subscribers should subsidize access for families who can't afford home Internet access.","Taxpayers should subsidize access for families who can't afford home Internet access.","I care enough about this issue that I would financially support a campaign to create a publicly-owned telecommunications utility.","What question(s) didn't we ask that we should have, and your answer(s)?"
"2019/12/04 9:24:16 AM PST","All day, every day","Yes","CenturyLink (fiber)","95","No","142","No","Price;Reliability;Customer service;Billing;Lack of choices in providers;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor;Monopoly power","None of these institutions can/will help","I'd like to connect across town (over local infrastructure) without needing to go through an Internet provider (where traffic typically goes through other cities incurring costs of latency, exposing traffic to surveillance, and requiring multiple unnecessary intermediaries).","5","5","Yes","5","5","4","5","5",""
"2019/12/04 9:51:15 AM PST","All day, every day","Yes","CenturyLink (fiber)","$150 (guessing as it's combined with TV)","No","$50","No","Price;Lack of network neutrality guarantees","I don't know","More competition should lead to lower prices. Both Comcast and CenturyLink are available in our neighborhood, and prices haven't come down at all.","5","5","Yes","5","4","2","5","2",""
"2019/12/04 10:00:51 AM PST","All day, every day","Yes","Comcast","$80","No","$40","No","Price;Customer service;Lack of choices in providers;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","I'd be able to easily know what data is being gathered and how it's used.","5","5","Yes","5","4","5","5","4",""
"2019/12/04 10:28:21 AM PST","All day, every day","Yes","Charter","$200","No","$150","No","Price;Customer service;Lack of choices in providers;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","","5","5","Yes","5","4","5","5","5",""
"2019/12/04 10:30:31 AM PST","All day, every day","Yes","CenturyLink (fiber)","$79","No","80","No","Price;Reliability;Customer service;Download speed;Upload speed;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Cheaper","5","5","Yes","5","5","5","1","4",""
"2019/12/04 11:41:01 AM PST","All day, every day","Yes","CenturyLink AND Comcast","~$110","No","~$100","No","Reliability;Lack of choices in providers;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","In short, be more broadly and consistently available. Technically, I'm fortunate and happy. What I'd like is for comparable service to be available to any resident or business in the city, with adjustments or subsidies for anyone without the means to pay for it.","5","5","Yes","4","4","5","5","5",""
"2019/12/04 7:04:27 PM PST","All day, every day","Yes","CenturyLink (fiber)","85","No","50","No","Reliability;Download speed;Upload speed;Lack of network neutrality guarantees","None of these institutions can/will help","","5","5","Yes","5","5","4","4","4",""
"2019/12/04 7:04:29 PM PST","All day, every day","Yes","CenturyLink (fiber)","85","No","50","No","Reliability;Download speed;Upload speed;Lack of network neutrality guarantees","None of these institutions can/will help","","5","5","Yes","5","5","4","4","4",""
"2019/12/04 11:17:10 PM PST","All day, every day","Yes","CenturyLink (fiber)","65","No","75","No","Download speed;Upload speed;Lack of network neutrality guarantees","I have no idea","Faster and cheaper","5","5","Yes","5","3","3","4","3",""
"2019/12/05 3:09:03 PM PST","All day, every day","Yes","Comcast","170","No","110","No","Price;Customer service;Billing;Lack of choices in providers;Download speed;Upload speed;Bandwidth caps;Lack of network neutrality guarantees;Lack of privacy guarantees;Your subscription fees funding ISPs lobbying to tilt regulation in their favor","None of these institutions can/will help","Gigabit/fiber speeds for the price we're already paying","5","5","Yes","5","5","5","5","5",""
